nama,no_telp,alamat,latitude,longitude,kategori_1,kategori_2,kategori_3,kategori_4,kategori_5,id
OLA Laundry,081234567891,"Jl. Andi Djemma No.94i, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.19814467496161725,0.9928661396673855,1,1,1,1,1,17
Smile Laundry,081234567891,"Komp.Pelita Marga Mas, Jl. Gunung Latimojong C No.20, Gaddong, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90157",0.20099957798973994,0.9925105532376319,1,0,1,1,1,18
Laundry Antara,081234567891,"Jalan Perintis Kemerdekaan III BTN Antara Block A15 No. 1, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0.2006827988473256,0.9953837679063762,1,1,1,1,1,19
Sarah Laundry,081234567891,"Jl. Traktor No.9, Mangasa, Tamalate, Makassar City, South Sulawesi 90221",0.19654431143922868,0.9931759362953203,0,1,1,0,1,20
Happy Laundry,081234567891,"Jl. Tupai No.56, Bonto Biraeng, Mamajang, Makassar City, South Sulawesi 90132",0.1986623251969079,0.9925998433511802,0,1,0,0,0,21
Bossman Laundry,081234567891,"RFVM+7W7 Bossman Laundry, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234",0.1988916982691788,0.995676202567787,1,0,0,1,0,22
Rizray Laundry & Dry Cleaning,081234567891,"Ruko Somba Opu, Blk. A No.8, Tanjung Merdeka, Tamalate, Makassar City, South Sulawesi 90224",0.19735874419012023,0.9911915207589734,0,0,0,1,0,23
Clean & Clinik Laundry,081234567891,"Jl. Sultan Hasanuddin No.163 A, Mangkura, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90115",0.20001223323052103,0.9922597586772506,1,1,0,1,1,24
Laundry terdekat,081234567891,"RFVH+MHJ Laundry terdekat, Jln pannara no hp, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90000",0.1989867048671608,0.9953949291705699,1,0,0,1,1,25
Karunrung Laundry,081234567891,"JL Karunrung, No. 1 B, Sawerigading, Mangkura, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90113",0.19994952887585288,0.9922981553339847,1,1,1,0,0,26
Fast Laundry,081234567891,"RCVF+48H Fast Laundry, Mandala, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90135",0.1988608437454532,0.9927463707170023,1,1,1,1,1,27
Losari Laundry Coin,081234567891,"Jl. Somba OPU No.231, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90112",0.20020496090071316,0.992012827631398,1,1,1,1,1,28
Laundry Expresso,081234567891,"Jl. Hertasning Baru No.E1 no 11, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.19723849298181728,0.9941588907077081,0,0,0,1,0,29
Go Laundry,081234567891,"Jl. Rappocini Raya No.177, Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",0.1988274557124481,0.9931913426557237,0,0,1,0,1,30
Laundry Balap,081234567891,"Jalan Mapala (BTN Pemda) Blok E22 Nomor 37, Tidung, Rappocini, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.19791955456563703,0.9933658208797391,1,0,0,0,0,31
GhiQo Laundry,081234567891,"Jl. Sungai kelara No.18, North Pisang, Ujung Pandang, Makassar City, South Sulawesi 90115",0.2008908180556691,0.9924102926507317,0,1,0,0,0,32
Losari Laundry Panakkukang,081234567891,"Jl. Topaz Raya No.F7, Masale, Panakkukang, Makassar City, South Sulawesi 90231",0.19906008615379261,0.9934992313752486,0,1,0,1,1,33
Laundrita’,081234567891,"Lorong 3 No.8, RT.004/RW.05, Mangasa, Tamalate, Makassar City, South Sulawesi 90221",0.19629222726591633,0.9935218877876064,0,0,1,1,0,34
Neat n' Tidy Laundry Services,081234567891,"Blok E1 No.14, Pandang, Panakkukang, Makassar City, South Sulawesi 90231",0.199182147011581,0.9941642328512543,0,0,1,1,0,35
The Laundry Lounge,081234567891,"Jl. Pattimura No.43, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174",0.20073165938343063,0.9918892905619057,0,1,0,1,0,36
87 Laundry express makassar,081234567891,"Ruko Marina Mas II Jl. Bukit Baruga Raya No.21, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234",0.19890861849186703,0.9956225903414904,1,1,1,1,1,37
Mom Laundry,081234567891,"Jl. Lasinrang No.42, Mangkura, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113",0.1997329138324539,0.9923103182500927,1,1,0,1,1,38
Cuci Sepatu Makassar,081234567891,"Jl. Bukit Baruga No.19, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234",0.19894327327951183,0.9955197540782379,0,1,0,1,0,39
"Kireiwash • Kirei Wash & Beyond - Makassar, Sulawesi",081234567891,"Jl. H. Borra No.7, Bulo Gading, Ujung Pandang, Makassar City, South Sulawesi 90174",0.20060742694625988,0.9919124716490764,1,0,0,0,0,40
RE Laundry II,081234567891,"Jl. Dg. Tata III No.2, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",0.19620083996690507,0.9928293170350893,1,1,1,1,0,41
Mr Laundry,081234567891,"Jl. Monginsidi No.57 D, Maricaya, Makassar, Makassar City, South Sulawesi 90142",0.19964089315612277,0.9927542408391901,1,1,1,1,1,42
Topp Laundry Makassar,081234567891,"Jl. Ranggong Blk. B No.6, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111",0.20048599946579138,0.9920838972196382,1,0,1,0,0,43
MIM Laundry,081234567891,"Jl. RSI Faisal XIV, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi 90222",0.19829234235962356,0.9931294787255576,1,0,0,0,1,44
75Laundry,081234567891,"1 no. 3, Jl. Yos Sudarso, Tabaringan, Ujung Tanah, Makassar City, South Sulawesi 90165",0.20220136621297535,0.9924850826603695,0,0,1,0,0,45
Makassar Laundry,081234567891,"Jl. Sungai Saddang Baru No.12, Maricaya Baru, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90114",0.19975815844277484,0.9928683337620559,1,1,1,0,1,46
Laundry F4,081234567891,"VC2M+C4F Laundry F4, Jl. Sungai Saddang Baru, Balla Parang, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.19960813850043752,0.9931964463107175,0,0,1,1,1,47
Clean Laundry,081234567891,"Jl. Onta Lama No.424/63, Mamajang Luar, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132",0.19888310243412327,0.9925874419465206,0,0,0,1,0,48
Internasional Laundry,081234567891,"Jl. Sungai Saddang Lama No.55-B, South Pisang, Ujung Pandang, Makassar City, South Sulawesi 90141",0.19990428763871865,0.992589969925163,0,1,1,0,0,49
Laundryan,081234567891,"Jl. Batua Raya III No.11a, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233",0.1993814799023947,0.9945485333025648,0,0,1,1,0,50
Edwash Premium Laundry Service,081234567891,"Jl. Domba No.41, Maricaya, Makassar, Makassar City, South Sulawesi 90142",0.1995020025581204,0.9926516430644883,0,1,0,1,1,51
Laundry Lia,081234567891,"Jl. Onta Lama No.7, Mamajang Luar, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132",0.1989700560918954,0.9924487847028862,1,1,1,1,1,52
Laundry Kilat Onta Lama,081234567891,"Jl. Onta Lama No.62, Bonto Biraeng, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90113",0.1988764972135016,0.9925630684165938,1,0,1,1,1,53
Alsya Laundry,081234567891,"VC88+MRH Alsya Laundry, JL. Benua Raya, Gaddong, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90156",0.20102002702892463,0.9924487847028862,1,1,0,1,1,54
Fresh & Clean Laundry,081234567891,"Ruko Jade, Jl. Topaz Raya No.9, Masale, Panakkukang, Makassar City, South Sulawesi 90231",0.19919155718890486,0.9934357457229339,0,0,0,1,0,55
Mega Klin Laundry,081234567891,"Jl. Veteran Utara No.6, Gaddong, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90213",0.20120786864550622,0.9926213073207828,0,1,1,1,0,56
Laundrygue.com,081234567891,"Jl. Bakti No.18, Tamamaung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0.19991595987789923,0.993349508262841,0,1,0,1,1,57
On clean laundry,081234567891,"Jl. Abubakar Lambogo No.44, Bara-Baraya, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90143",0.19993487071502142,0.9929625367397579,1,1,1,0,1,58
Laundryne,081234567891,"RCHG+687 Laundryne, Jl. Andi Tonro, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90233",0.19752414615308328,0.9928622761528567,0,1,0,1,1,59
Yhoyo Laundry & Dry Cleaning,081234567891,"Jl. Cendrawasih V No.52, Kunjung Mae, Mariso, Makassar City, South Sulawesi 90125",0.19875796517220984,0.9921766215683219,0,1,0,0,0,60
Laundry Kinclong,081234567891,"Jl. G. Salahutu No.24 A/38, Mardekaya Utara, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90144",0.19799899817804484,0.9942163664485335,1,0,1,1,0,61
Alyssum Laundri Rappokalling,081234567891,"Jl. Toddopuli 7 No.2, Borong, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90222",0.2016485182951943,0.9935078646608,1,1,1,0,1,62
Laundryta',081234567891,"VCFQ+CPW Alyssum Laundri Rappokalling, Jl. Rappokalling Raya, Rappojawa, Kec. Tallo, Kota Makassar, Sulawesi Selatan",0.19942545438488923,0.994620986124402,1,1,1,1,1,63
LaundryN Service,081234567891,"Jl. Bonto Bila Raya No.3, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233",0.20634229664787762,0.9960264468539943,1,0,0,1,1,64
Dhylla Laundry,081234567891,"Jl. Mutiara Boulevard Kios Kirana Raya No.88, Bulurokeng, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90243",0.20089036564329776,0.9938838657105302,1,0,1,0,1,65
Lafatching Laundry,081234567891,"Jalan Pampang 1 Lorong 6 No 3, Pampang, Panakkukang, Pampang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0.19708277264360102,0.9926745856631074,0,1,1,0,0,66
Fyndhy Laundry Talasalapang,081234567891,"Jalan Andi Tonro IV Selatan Lr. 3 No. 6, Bontoduri, Tamalate, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225",0.1965855714474951,0.9937384353920447,1,0,1,1,0,67
Clean & Dry Laundry,081234567891,"Jl. Talasalapang No.32, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.1973873366519891,0.9923900211238843,0,0,1,0,0,68
Khirene Laundry & Dry cleaning,081234567891,"Jl. Andi Mappaodang No.61B, Jongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0.20027363709868296,0.9919912205686643,1,1,1,1,0,69
LAUNDRY TRANSMADITYA,081234567891,"Jl. Somba OPU No.208, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111",0.19874493569591511,0.991971092134948,0,0,1,1,1,70
Laundry karpet,081234567891,"Jl. Nuri Lorong 303 No.49, Mariso, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90121",0.20414502024273906,0.9980430583447459,1,0,0,1,0,71
Cuci Karpet Taeng Gowa,081234567891,"Jl. Poros Jl. Laikang, Sudiang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242",0.19536441997476617,0.9929842868956218,1,1,1,0,1,72
Sindwhy Laundry,081234567891,"Jl gantaran taeng No.48, Sungguminasa, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 90111",0.20092103920207477,0.9938672669073716,0,1,1,0,0,73
laundry karpet gowa,081234567891,"Jl. Pampang 1 SD Inpres Pampang 1 No.Samping, Pampang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90233",0.19459948113729947,0.9945778196966453,1,1,1,1,1,74
R4 Dry Cleaning & Laundry Makassar,081234567891,"Jl. Mangka DG. Bombong No.C14, Bonto Bontoa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113",0.1987158908216749,0.9943222553652404,1,1,1,1,1,75
Many Loundry,081234567891,"Jl. Meranti No.242, Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90221",0.19801827094506402,0.9936950304757364,1,0,1,0,1,76
Gloria Laundry,081234567891,"JL Bonto Daeng Ngirate, Blok 20 No. 5, Tidung, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90222",0.19743348271386607,0.9921109895190483,0,0,1,0,0,77
Java Loundry,081234567891,"Jl. Opu Daeng Risadju No.379, Karang Anyar, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90255",0.2029424176772352,0.9926598947683569,1,1,1,1,1,78
"Loundry, Q",081234567891,"Jl. Sabutung No.57, Gusung, Ujung Tanah, Makassar City, South Sulawesi 90162",0.19722591591789396,0.9940392648504552,1,1,1,1,1,79
Makassar LaundryMart,081234567891,"001, Jl. Tidung 10 No.91, RW.10, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",0.19615559872977079,0.995817530883194,1,0,1,1,1,80
Laundry BBA,081234567891,"Jl.Tamangapa V Berlian Permai Blok A4/5 Depan SMA 10, Tamangapa, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234",0.1968762011548459,0.9922109639196872,0,1,1,0,0,81
Ntaps Laundry,081234567891,"Jl. Baji Gau No.1, Bongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0.1962929511257105,0.9932719994837198,1,1,1,1,1,82
Azhraf Laundry,081234567891,"Jl. Andi Mappaodang No.111, Balang Baru, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0.1970066768827412,0.9929789924497863,0,1,0,0,0,83
MY LAUNDRY,081234567891,"Jl. Muhajirin II No.25, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",0.19659154329079687,0.9937353827385893,1,1,1,1,1,84
Me Laundry Home,081234567891,"Jl. Mannuruki Raya No.80, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221",0.19899249574551403,0.9919757188128404,1,0,0,0,1,85
Laundry Bagus,081234567891,"RC9V+3JX MY LAUNDRY, Jalan talassalapang, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",0.19489508738073497,0.9910249126571449,0,1,0,1,1,86
Laundry Berkah,081234567891,"Jl. Rajawali 1 Lrg. 13B No.63, Panambungan, Mariso, Makassar City, South Sulawesi 90122",0.1979434419388439,0.9937137756758565,1,1,0,1,0,87
Laundry 2547,081234567891,"Jalan mallombasi no 38, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225",0.197504511456167,0.9919364158996125,0,1,0,1,0,88
Laundry Fadmi,081234567891,"RCMV+3F6 Laundry Berkah, Bonto Makkio, Makassar, Makassar City, South Sulawesi",0.20105974883512856,0.9940057333601642,1,1,1,1,1,89
I'm Laundry,081234567891,"Jl. Tanjung Bunga No.6, Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90131",0.19652594349695213,0.9938712258173199,1,0,1,0,0,90
Adzrah Laundry,081234567891,"Jalan Pampang 2 Lorong 5 No 41, Pampang, Panakkukang, Pampang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0.19749546320874006,0.9925571539005258,0,0,0,1,0,91
Laundry Kiloan,081234567891,"Jl. Talasalapang No.64 C, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",0.20111792906608328,0.996381842492907,1,1,1,1,1,92
Soft & Clean Laundry,081234567891,"Jl. Andi Tonro Kelurahan No.32 A, Jongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223",0.19742751087056443,0.9919054600856736,1,0,0,0,0,93
LAUNDRY TERDEKAT,081234567891,"Jl. Kesenangan 3 No.1 C, RT.2/RW.2, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0.20310809108762096,0.9971873137255356,0,1,1,0,0,94
Laundry 61,081234567891,"Jl. Tanjung Dapura No.36, Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90224",0.19871625275157195,0.9926080473573391,1,0,0,0,0,95
Laundry A2M,081234567891,"VGQ8+WH5 LAUNDRY TERDEKAT, Jl. Pajjaiang, Sudiang Raya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan",0.19972522282214106,0.9935617153756482,1,0,0,1,0,96
Amaz Laundry,081234567891,"Jl. Singa No.61, Bonto Biraeng, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132",0.19167943072770338,0.9928493977710948,1,1,1,1,1,97
Laundry,081234567891,"Jl. A. P. Pettarani III No.24B, Tamamaung, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232",0.20249697245641085,0.9923430388793095,1,1,1,1,1,98
Laundry57,081234567891,"QC7G+96C Amaz Laundry, Jalan Poros, Lembang Parang, Barombong, Gowa Regency, South Sulawesi 90225",0.20164860877766855,0.9934982297233335,0,1,1,1,1,99
LAUNDRY EXPRESS,081234567891,"Jl. Satando II No.15/19, Malimongan Tua, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174",0.20048853297507097,0.9930351803524351,1,1,0,1,1,100
Erlangga Laundry,081234567891,"Jl. Rappokalling Raya No.27b, Rappokalling, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90216",0.21186552784218116,1.0,1,1,1,0,1,101
Alyssum Laundry Cabang Tamangapa III,081234567891,"Jl. Maccini Sawah No.55, Maccini Gusung, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90144",0.19725061763336926,0.9952542686231061,0,1,0,1,0,102
R laundry,081234567891,"Jl. Lanto Dg. Pasewang B No.7, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516",0.19935894976630175,0.9946243249641187,1,0,1,0,1,103
Marinizung Dry Cleaning,081234567891,"Tamanggapa Raya III No.40, RT.001/RW.01, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235",0.19990428763871865,0.9925543874333318,0,0,1,0,1,104
B. Laundry,081234567891,"Jl. Bonto Bila 3 No.4, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233",0.19860649751028414,0.9926055670764073,0,1,1,1,0,105
57 Laundry,081234567891,"Plaza Latanette Blok F 6, JL Sungai Sanddang, Pisang Sel., Kec. Makassar, Kota Makassar, Sulawesi Selatan 90141",0.1970545421116292,0.9931228487438357,1,1,1,1,1,106
Kamila Laundry Service,081234567891,"Jl. Tupai No.47, Bonto Biraeng, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132",0.1987302775350836,0.9926104799405602,1,1,1,1,1,107
Special Laundry,081234567891,"Jl. Mannuruki 2 No.39, Mannuruki, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90223",0.1974380973200538,0.9926817880173529,0,1,0,1,0,108
Spesial Laundry,081234567891,"Jl. Tupai No.88B, Bonto Biraeng, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90132",0.19696098323323552,0.99328239758455,1,1,0,1,0,109
Me Laundry,081234567891,"JL. BJ. Gau, No. 37 D, Pa'baeng-Baeng, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90223",0.1982011360255609,0.9925578216684681,0,1,0,0,0,110
Dolphin Laundry & Dry Cleaning Semarang,081234567891,"Jl. Mannuruki 2 No.81, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221",0.03419196978898753,0.5629289484891915,0,0,0,1,0,111
Daily Fun Wash Laundry Coin,081234567891,"Jl. Tupai No.127, Mamajang Dalam, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132",0.03334342514529676,0.5635704826917651,1,0,0,0,0,112
Mr. Laundry (Dry Clean & Laundry Hotel),081234567891,"Indonesia, Ruko, Jl. Imam Bonjol No.147, Pindrikan Lor, Semarang Tengah, Semarang City, Central Java 50131",0.032425208996418986,0.5635836949574982,0,0,0,1,0,113
Wash Wash Laundry & Wet Clean,081234567891,"Jl. Anggrek IV No.50, Pekunden, Semarang Tengah, Semarang City, Central Java 50241",0.033060576930733054,0.5640933449912895,0,0,0,0,1,114
Laundry Momo,081234567891,"Ruko Pertokoan, No.6A, Jl. Pleburan Raya, Pleburan, Semarang Selatan, Semarang City, Central Java 50241",0.03215674749526409,0.5640544713574531,1,1,1,1,1,115
Orange Laundry Semarang Kedungmundu,081234567891,"Jl. Sidodadi Timur No.34, Karangtempel, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50125",0.029969152714872327,0.5654308364838068,1,1,0,0,1,116
My Laundry Express Mugas Semarang,081234567891,"2C2P+577 Laundry Momo, Jl. Pandean Lamper II, Peterongan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50242",0.033177299322539544,0.5630388440135583,1,1,1,1,1,117
Freshde Laundry,081234567891,"Jl. Kedungmundu No.50, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",0.034120669599263964,0.5619230514781828,1,0,0,1,1,118
Tempat Cuci Gajah,081234567891,"Jl. Mugas No.740, Mugassari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50249",0.03410573999100963,0.5646805038042029,1,0,0,1,0,119
Schoon ID - Professional Laundry Services,081234567891,"Panggung Kidul, Kec. Semarang Utara, Kota Semarang, Jawa Tengah",0.03306311044001253,0.5637566468547863,1,0,1,1,0,120
J & I Laundry,081234567891,"Jl. Anjasmoro Raya No.38, Karangayu, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50142",0.033430831215440215,0.5630409427128082,0,0,1,1,1,121
LAUNDRY,081234567891,"JL. Gajah, No. 21, Pandean lamper, Gayamsari, Sambirejo, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50167",0.03154173811766037,0.566883422551105,1,1,1,0,0,122
My Laundry Express Kusumawardani Semarang,081234567891,"2C6H+5QX Schoon ID - Professional Laundry Services, Jl. Ki Mangunsarkoro, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50136",0.03245217277375101,0.5633765438019758,0,0,1,1,0,123
Lares Laundry Express Semarang,081234567891,"2C77+RQ3 J & I Laundry, Jl. Pekunden Tengah, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50241",0.033263800567940316,0.5641133780295853,0,1,1,1,1,124
126 Laundry,081234567891,"XFVV+CXX LAUNDRY, Jalan Kyai Morang, Pedurungan Lor, Pedurungan, Jamos, Plamongan Sari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50194",0.03175265276518058,0.5639613654270876,1,1,1,1,1,125
Laundry Home Semarang - Utama,081234567891,"H-28, No, Jl. Kusuma Wardani, Pleburan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50241",0.028209359072822404,0.5632515758011767,0,1,0,0,0,126
Laundry Muara,081234567891,"2CVX+GGV Laundry, Jl. Tenggang Raya, Tambakrejo, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50112",0.03176459645178398,0.5637230676667855,0,0,1,1,1,127
Laundry Sweety,081234567891,"Jl. Labuan Raya No.9, Karangtempel, Semarang Timur, Semarang City, Central Java 50232",0.03400973808581065,0.5632538175935577,0,0,1,1,0,128
Laundry Kharisma,081234567891,"Jl. Peterongan Tengah Raya No.126, RT.01/RW.3, Peterongan, Semarang Selatan, Semarang City, Central Java 50242",0.029451050067210383,0.5632566794561713,1,1,0,0,0,129
laundrysemarang.com,081234567891,"Jl. Ngesrep Barat Dalam I No.44, Tinjomoyo, Banyumanik, Semarang City, Central Java 50262",0.03245633496756739,0.563086350932946,1,1,1,1,1,130
Clear&clean laundry express semarang,081234567891,"Jl. Giri Mulyo Mukti I No.216 B, Tlogomulyo, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50127",0.03246321163561183,0.5635471585114633,1,1,0,1,0,131
aQualis Laundry & Wet Clean - Semarang,081234567891,"XCWH+CFQ Laundry Muara, Jalan, Kopen III, Wonodri, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50242",0.03203179119829913,0.5633094808213945,0,1,0,0,0,132
Melia laundry & Dry Cleaning,081234567891,"Jl. Kelengan Kecil No.2/G, Kembangsari, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50133",0.02669757789274274,0.563654478359477,1,0,1,0,1,133
